가라, 88, 140
바차, 99, 154
하타, 61, 188
나다, 42, 179
하카, 69, 184
바바, 70, 150
다타, 91, 194
자다, 54, 149
아파, 56, 146
아다, 90, 163
가카, 50, 141
차카, 77, 154
나타, 40, 182
아자, 76, 158
다가, 65, 174
하카, 91, 182
타라, 65, 190
가자, 81, 166
가하, 87, 175
가가, 74, 175
카가, 76, 143
카가, 47, 165
마파, 91, 167
카라, 49, 183
가나, 58, 143
바하, 76, 186
타자, 48, 173
사바, 56, 144
다하, 82, 158
마카, 93, 178
아파, 98, 187
파사, 81, 143
나라, 68, 147
카파, 41, 193
자라, 69, 196
바카, 60, 165
라자, 71, 168
사타, 45, 155
나사, 92, 168
파나, 75, 152
카아, 44, 147
사가, 74, 148
카자, 99, 183
다바, 75, 152
다하, 75, 152
마라, 47, 152
마바, 58, 175
차사, 81, 171
하나, 75, 167
마차, 56, 161
다나, 96, 154
카파, 94, 140
카자, 68, 184
차바, 93, 177
차가, 96, 165
카파, 81, 199
타가, 47, 149
타카, 64, 164
타타, 70, 165
자마, 99, 141
차하, 53, 160
타파, 92, 173
사사, 50, 163
카자, 85, 155
아아, 41, 172
아자, 82, 179
파사, 44, 161
하파, 61, 179
아사, 96, 172
타가, 84, 193
파가, 57, 159
라라, 70, 167
아아, 97, 165
바하, 56, 149
라자, 58, 159
차차, 62, 191
타가, 88, 145
나자, 79, 156
자하, 90, 185
사마, 97, 164
라바, 71, 162
카사, 82, 184
바라, 59, 198
타다, 95, 140
파다, 95, 166
가차, 41, 176
자자, 81, 161
타타, 95, 191
아자, 99, 182
마라, 94, 191
사바, 68, 151
차바, 77, 153
마타, 87, 178
하타, 70, 175
카사, 82, 191
라마, 87, 151
파아, 74, 153
나아, 43, 149
나나, 78, 182
타자, 65, 195
사자, 52, 184
라나, 78, 149
바카, 76, 174
가파, 55, 176
아바, 53, 151
라타, 57, 143
차바, 54, 180
카아, 99, 190
카가, 40, 163
자사, 44, 175
바차, 49, 165
마하, 40, 178
마카, 91, 160
자사, 83, 196
